ns,page,sender,recipients,cardinality,timestamp
3,User talk:Auntof6/Archives/2019,Auntof6,Tropical Storm Angela,1,"09:38, 23 June 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Djsasso|SimmeD,2,"07:59, 20 June 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Ottawahitech,1,"19:56, 17 July 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Macdonald-ross,1,"11:19, 29 July 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Laptop Fizz,1,"06:03, 3 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Laptop Fizz,1,"20:41, 3 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,CptViraj,1,"09:31, 3 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,SJ81,1,"16:47, 6 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Hasley,1,"01:30, 14 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,RazorTheDJ,Auntof6,1,"20:10, 18 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Computer Fizz,1,"03:21, 19 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,RazorTheDJ,1,"03:21, 19 August 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Computer Fizz,Peterdownunder,1,"23:07, 10 September 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Tropical Storm Angela,1,"07:13, 25 September 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Tropical Storm Angela,1,"07:42, 25 September 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Brian R Hunter,Desertborn,1,"21:54, 28 October 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Tropical Storm Angela,Auntof6,1,"20:51, 7 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Tropical Storm Angela,Tropical Storm Angela,1,"21:18, 7 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Wei4Green,1,"23:41, 7 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6/simplediffs,Brian R Hunter,1,"03:28, 8 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Brian R Hunter,1,"05:52, 8 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Tropical Storm Angela,1,"08:06, 27 November 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Auntof6,Vermont,1,"20:07, 16 December 2019 (UTC)"
3,User talk:Auntof6/Archives/2019,Computer Fizz,Auntof6,1,"07:40, 31 December 2019 (UTC)"
3,User talk:BRPever/Archives/2019,BRPever,Ottawahitech,1,"15:26, 3 June 2019 (UTC)"
3,User talk:BRPever/Archives/2019,Auntof6,Djsasso,1,"21:49, 3 June 2019 (UTC)"
3,User talk:BRPever/Archives/2019,BRPever,GSS,1,"13:39, 19 July 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/MGM Studios Home Entertainemnt,Eihel,IanDBeacon,1,"21:05, 14 February 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/MGM Studios Home Entertainemnt,IanDBeacon,Eihel,1,"21:06, 14 February 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Amin Abbasov,Eihel,Ayselonline,1,"10:52, 17 February 2019 (UTC)"
3,User talk:Jerry Barton,IanDBeacon,Enfcer,1,"22:37, 14 February 2019 (UTC)"
1,Talk:Kirsten Gillibrand 2020 presidential campaign,Operator873,Tony85poon,1,"07:03, 20 February 2019 (UTC)"
3,User talk:Eihel/2018,Eihel,Vermont,1,"02:07, 4 October 2018 (UTC)"
3,User talk:Eihel/2019,Eihel,Vermont,1,"22:48, 12 February 2019 (UTC)"
3,User talk:Eihel/2019,Eihel,Vermont,1,"17:49, 22 February 2019 (UTC)"
3,User talk:Eihel/2019,Eihel,Auntof6|Djsasso|Operator873,3,"20:59, 22 February 2019 (UTC)"
3,User talk:Eihel/2019,Eihel,Enfcer,1,"09:02, 18 February 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Luis Alberto Alonso Pastor,Only,Vermont,1,"17:18, 24 February 2019 (UTC)"
3,User talk:86.3.22.119,Only,Macdonald-ross,1,"11:45, 1 March 2019 (UTC)"
1,Talk:Bombus lapidarius,Eihel,Macdonald-ross,1,"13:42, 4 March 2019 (UTC)"
3,User talk:A planetree leaf,ImprovedWikiImprovment,Cohaf,1,"15:02, 9 March 2019 (UTC)"
3,User talk:A planetree leaf,Cohaf,ImprovedWikiImprovment,1,"15:20, 9 March 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Outhouse,Auntof6,ImprovedWikiImprovment,1,"21:39, 12 March 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Outhouse,ImprovedWikiImprovment,Auntof6,1,"21:43, 12 March 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 2,Auntof6,HarryKernow,1,"05:53, 24 April 2016 (UTC)"
4,Wikipedia:Deletion review/Archive 2,Auntof6,5df4smscm6,1,"17:36, 19 May 2015 (UTC)"
4,Wikipedia:Deletion review/Archive 2,Auntof6,Hamneto,1,"08:36, 31 December 2015 (UTC)"
4,Wikipedia:Deletion review/Archive 2,Etamni,Filmbuff311,1,"14:03, 21 December 2015 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Macdonald-ross,1,"06:23, 10 August 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Chanman2019,1,"15:08, 12 April 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,BRPever,Auntof6,1,"13:16, 21 March 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Ellencleary,1,"06:06, 26 February 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Cohaf,Ellencleary,1,"02:03, 13 March 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Cohaf,1,"23:54, 23 February 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Cohaf,Eehsani,1,"13:26, 18 January 2019 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Ricky81682,BewishBillenial,1,"23:53, 14 May 2018 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,MVA33,1,"11:06, 27 April 2018 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Brendancarr,1,"11:00, 27 April 2018 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Bryanglanz,1,"18:07, 5 February 2018 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Some Gadget Geek/sandbox,Auntof6,1,"01:55, 15 May 2017 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Rosebythedoor,1,"20:36, 10 March 2017 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,MBlaze Lightning,1,"06:23, 19 January 2017 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Wiki tamil 100,1,"04:42, 22 January 2017 (UTC)"
4,Wikipedia:Deletion review/Archive 3,Auntof6,Harut111,1,"18:53, 6 January 2017 (UTC)"
3,User talk:212.50.184.130,Cohaf,Cohaf,1,"13:00, 8 April 2019 (UTC)"
3,User talk:212.50.184.130,BRPever,BRPever,1,"13:18, 8 April 2019 (UTC)"
3,User talk:212.50.184.130,Galbatorix123,BRPever,1,"13:21, 8 April 2019 (UTC)"
3,User talk:212.50.184.130,Galbatorix123,BRPever,1,"13:22, 8 April 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Movies banned in China,ImprovedWikiImprovment,Djsasso,1,"12:43, 15 March 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Movies banned in China,ImprovedWikiImprovment,Tony85poon,1,"16:44, 15 March 2019 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,Auntof6,Deborahjay,1,"10:21, 24 October 2017 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,The Dales of Glendale,User:AZ2001,1,"00:07, 31 December 2017 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,Auntof6,ImprovedWikiImprovment,1,"18:15, 18 January 2019 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,ImprovedWikiImprovment,Auntof6,1,"18:38, 18 January 2019 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,Auntof6,ImprovedWikiImprovment,1,"19:44, 18 January 2019 (UTC)"
3,User talk:Tropical Storm Angela/Archive 8,ImprovedWikiImprovment,Auntof6,1,"19:55, 18 January 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Umbrella term,StevenJ81,Yottie,1,"14:12, 22 March 2019 (UTC)"
3,User talk:ჯეო,ჯეო,Vermont,1,"11:01, 2 May 2019 (UTC)"
3,User talk:ჯეო,ჯეო,Auntof6,1,"10:07, 5 June 2019 (UTC)"
3,User talk:ჯეო,ჯეო,Vermont,1,"19:27, 21 June 2019 (UTC)"
3,User talk:ჯეო,ჯეო,Belwine,1,"14:47, 6 January 2021 (UTC)"
3,User talk:Bri,Operator873,Bri,1,"17:19, 23 March 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,73.19.141.25,1,"04:22, 17 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,S3Kumera,1,"07:46, 17 December 2018 (UTC)"
3,User talk:Operator873/Archive 4,Macdonald-ross,Gotanda,1,"02:15, 28 January 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,StraussInTheHouse,1,"17:51, 11 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,StraussInTheHouse,1,"18:36, 12 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Djsasso,1,"18:11, 13 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,StraussInTheHouse,Djsasso|Operator873,2,"18:16, 13 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,StraussInTheHouse,1,"18:28, 13 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,StraussInTheHouse,Operator873,1,"14:49, 14 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,StraussInTheHouse,Operator873,1,"23:29, 14 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,StraussInTheHouse,Vermont,1,"17:42, 15 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Auntof6,1,"21:50, 11 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,113.197.53.162|Operator873,2,"07:57, 12 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Eihel,1,"07:40, 13 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Eihel,1,"08:22, 13 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,StraussInTheHouse,Djsasso|Vermont,2,"20:05, 15 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Marcus Cyron,1,"18:23, 20 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Auntof6,1,"18:50, 20 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Bsadowski1,Djsasso,1,"19:32, 20 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Djsasso,1,"19:36, 20 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Djsasso,1,"16:36, 21 February 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Auntof6,1,"21:25, 13 March 2019 (UTC)"
3,User talk:Operator873/Archive 4,Operator873,Dreamlover8,1,"02:24, 22 March 2019 (UTC)"
3,User talk:Jreesebot,Auntof6,Jollyeditor,1,"05:32, 27 March 2019 (UTC)"
1,Talk:Adenosine triphosphate,Thegooduser,Drone Better,1,"03:44, 3 November 2020 (UTC)"
3,User talk:Chidgk1,Chidgk1,RazorTheDJ,1,"06:40, 8 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Auntof6,1,"00:20, 8 April 2019 (UTC)"
3,User talk:Discanto,Auntof6/Things I would like Wikipedia editors to know,Auntof6,1,"00:38, 8 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Auntof6,1,"01:17, 8 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Auntof6,1,"14:20, 9 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Auntof6,1,"15:26, 9 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Auntof6,1,"15:53, 9 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Gotanda,1,"23:12, 10 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Gotanda,1,"00:00, 11 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Djsasso,1,"22:30, 12 April 2019 (UTC)"
3,User talk:Discanto,Discanto,Gotanda,1,"21:24, 4 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Izzy Wales,BRPever,Peterdownunder,1,"14:35, 16 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,علاء,Cohaf|ImprovedWikiImprovment,2,"13:03, 13 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Cohaf,علاء,1,"13:23, 13 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Cohaf,ImprovedWikiImprovment,1,"15:07, 13 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Dr-Taher,Vermont|علاء,2,"05:47, 14 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,ImprovedWikiImprovment,Dopenguins,1,"19:10, 19 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,ImprovedWikiImprovment,Djsasso,1,"19:27, 19 March 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Cohaf,Makecat,1,"16:16, 4 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Cohaf,Auntof6|Djsasso,2,"05:46, 5 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Auntof6,AlAboud83,1,"04:33, 18 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,DannyS712,Computer Fizz,1,"02:44, 26 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Computer Fizz,DannyS712|FR30799386,2,"05:46, 28 April 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Computer_Fizz,Djsasso,1,"17:57, 11 May 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,DannyS712,Computer_Fizz|Djsasso,2,"00:15, 12 May 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,DannyS712,Djsasso,1,"00:15, 12 May 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,DannyS712,Djsasso,1,"17:05, 24 June 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Laptop Fizz,Auntof6,1,"02:41, 3 August 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Computer Fizz,KevRobbSIMPLE,1,"07:23, 11 August 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Auntof6,DannyS712,1,"09:43, 12 August 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,MJL,Nigos,1,"05:40, 27 August 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,大诺史,Vermont,1,"14:18, 12 September 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Jules78120,2A03:E600:100:0:0:0:0:17,1,"17:02, 21 September 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,DannyS712,Schniggendiller,1,"22:55, 22 September 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Cullen328,Vermont,1,"22:14, 7 October 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Desertborn,Auntof6|Macdonald-ross,2,"17:12, 24 October 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,Operator873,Computer Fizz,1,"22:53, 5 December 2019 (UTC)"
4,Wikipedia:Administrators' noticeboard/Current issues and requests archive 56,FNAFPUPPETMASTER,Camouflaged Mirage,1,"08:29, 10 January 2020 (UTC)"
3,User talk:Dotsonti,Dotsonti,Macdonald-ross,1,"07:25, 15 April 2019 (UTC)"
1,Talk:Affordable housing,Ottawahitech,Gotanda,1,"15:33, 23 April 2019 (UTC)"
1,Talk:Affordable housing,Gotanda,Ottawahitech,1,"21:14, 23 April 2019 (UTC)"
3,User talk:FR30799386,FR30799386/Rahul Gandhi,Vermont,1,"15:24, 25 April 2019 (UTC)"
3,User talk:Sam Waltons,IanDBeacon,Operator873,1,"01:08, 2 May 2019 (UTC)"
3,User talk:Sam Waltons,Operator873,IanDBeacon,1,"01:34, 2 May 2019 (UTC)"
3,User talk:Examknow,Examknow,SpaceGuy32,1,"15:48, 5 May 2019 (UTC)"
3,User talk:Examknow,Examknow,SpaceGuy32,1,"15:54, 5 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Lentr,1,"17:12, 5 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Lentr,1,"17:18, 5 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Hiàn,1,"05:55, 6 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Hiàn,1,"23:17, 9 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Hiàn,1,"23:27, 9 May 2019 (UTC)"
3,User talk:Examknow,Examknow,SpaceGuy32,1,"17:19, 6 May 2019 (UTC)"
3,User talk:Examknow,Examknow,SpaceGuy32,1,"17:21, 6 May 2019 (UTC)"
3,User talk:Examknow,Examknow,SpaceGuy32,1,"19:33, 6 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Auntof6,1,"19:38, 10 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Auntof6,1,"19:43, 10 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Auntof6,1,"16:19, 20 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Peterdownunder,1,"21:46, 21 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Deborahjay|Djsasso,2,"16:14, 22 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Djsasso,1,"16:16, 22 May 2019 (UTC)"
3,User talk:Examknow,RhinosF1,Thilakahan,1,"19:14, 27 May 2019 (UTC)"
3,User talk:Examknow,RhinosF1,Thilakshan,1,"19:23, 27 May 2019 (UTC)"
3,User talk:Examknow,Examknow,RhinosF1|Thilakshan,2,"15:09, 28 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Deborahjay,1,"18:16, 28 May 2019 (UTC)"
3,User talk:Examknow,Examknow,Dkkicks,1,"20:45, 5 June 2019 (UTC)"
3,User talk:Examknow,Examknow,Derpdart56,1,"23:07, 7 November 2019 (UTC)"
3,User talk:Examknow,Examknow,CentralTime301|Chenzw,2,"01:04, 7 December 2019 (UTC)"
3,User talk:Examknow,CentralTime301,Examknow,1,"01:11, 7 December 2019 (UTC)"
3,User talk:Examknow,Examknow,CentralTime301,1,"01:12, 7 December 2019 (UTC)"
3,User talk:Examknow,Examknow,King Punn,1,"13:47, 23 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Ashish Verma 9891,1,"15:06, 26 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Ashish Verma 9891,1,"17:23, 26 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Ashish Verma 9891,1,"17:26, 26 March 2020 (UTC)"
3,User talk:Examknow,Auntof6,Ashish Verma 9891,1,"08:26, 28 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Ashish Verma 9891,1,"18:18, 29 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Auntof6,1,"18:20, 29 March 2020 (UTC)"
3,User talk:Examknow,Examknow,Thegooduser,1,"22:21, 23 May 2020 (UTC)"
3,User talk:Examknow,Examknow,Yottie,1,"17:08, 3 July 2020 (UTC)"
3,User talk:203.88.142.115,Computer Fizz,Cohaf,1,"08:23, 3 May 2019 (UTC)"
3,User talk:203.88.142.115,Cohaf,Computer Fizz,1,"08:40, 3 May 2019 (UTC)"
3,User talk:203.88.142.115,Computer Fizz,Cohaf|Djsasso,2,"16:35, 3 May 2019 (UTC)"
3,User talk:Levivich,Levivich,MJL,1,"02:42, 4 May 2019 (UTC)"
3,User talk:Levivich,MJL,Levivich,1,"03:00, 4 May 2019 (UTC)"
3,User talk:MJL,MJL,Vermont,1,"16:25, 5 May 2019 (UTC)"
3,User talk:MJL,MJL,Vermont,1,"01:45, 29 May 2019 (UTC)"
3,User talk:MJL,MJL,Vermont,1,"00:39, 30 May 2019 (UTC)"
3,User talk:MJL,MJL,Levivich,1,"19:16, 10 July 2019 (UTC)"
3,User talk:MJL,MJL,Mo mohanna,1,"00:06, 22 August 2019 (UTC)"
3,User talk:Examknow/archives,Examknow,Thegooduser|Zaxxon0,2,"01:06, 3 May 2019 (UTC)"
3,User talk:Examknow/archives,Examknow,Gotanda,1,"02:23, 4 May 2019 (UTC)"
3,User talk:Examknow/archives,Examknow,Computer Fizz,1,"16:11, 4 May 2019 (UTC)"
3,User talk:Examknow/archives,Examknow,Computer Fizz,1,"16:42, 4 May 2019 (UTC)"
3,User talk:Examknow/archives,Examknow,Computer Fizz,1,"16:47, 4 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/IndependANTs,Auntof6,Only,1,"23:52, 7 May 2019 (UTC)"
5,Wikipedia talk:Orphan,Desertborn,DJSasso|Ottawahitech,2,"16:01, 17 May 2019 (UTC)"
5,Wikipedia talk:Orphan,Examknow,Ottawahitech,1,"16:26, 20 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Auntof6,Hikitsurisan|Macdonald-ross|Ottawahitech,3,"22:17, 10 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Ottawahitech,Gotanda,1,"23:15, 10 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Auntof6,Gotanda|Ottawahitech,2,"03:18, 11 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Auntof6,Macdonald-ross,1,"09:17, 11 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Ottawahitech,Angela Maureen|Gotanda,2,"17:40, 12 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,RhinosF1,Ottawahitech,1,"20:39, 12 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Auntof6,Tropical Storm Angela,1,"12:35, 15 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Categories for women by occupation,Auntof6,Ottawahitech,1,"19:46, 4 June 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Template:1949–50 NBA Central standings,Examknow,Djsasso,1,"00:51, 17 May 2019 (UTC)"
3,User talk:RhinosF1/archive,RhinosF1,Examknow,1,"20:13, 11 May 2019 (UTC)"
3,User talk:RhinosF1/archive,RhinosF1,Examknow|Vermont,2,"20:16, 11 May 2019 (UTC)"
3,User talk:RhinosF1/archive,RhinosF1,Examknow,1,"17:59, 12 May 2019 (UTC)"
3,User talk:RhinosF1/archive,RhinosF1,Examknow,1,"18:01, 12 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Печкуров Олексій,Cohaf,Jdx,1,"11:18, 18 May 2019 (UTC)"
1,Talk:Electric chair,Hiàn,HappyHangman,1,"22:41, 18 May 2019 (UTC)"
1,Talk:Yellow Mama,Hiàn,HappyHangman,1,"23:01, 18 May 2019 (UTC)"
1,Talk:SIR model,Mvolz,Joelmiller,1,"09:55, 1 July 2020 (UTC)"
3,User talk:Jon698,Jon698,ImprovedWikiImprovement,1,"22:09, 27 April 2021 (UTC)"
3,User talk:Jon698,Jon698,ImprovedWikiImprovement,1,"22:58, 27 April 2021 (UTC)"
3,User talk:Jon698,ImprovedWikiImprovment,RPBG,1,"23:32, 27 April 2021 (UTC)"
3,User talk:Jon698,RPBG,ImprovedWikiImprovement,1,"23:29, 27 April 2021 (UTC)"
3,User talk:Jon698,RPBG,ImprovedWikiImprovement,1,"23:34, 27 April 2021 (UTC)"
1,Talk:List of rivers of Canada,Hiàn,Ottawahitech,1,"16:26, 20 May 2019 (UTC)"
1,Talk:List of rivers of Canada,Ottawahitech,Examknow|Hiàn,2,"16:23, 30 May 2019 (UTC)"
1,Talk:List of rivers of Canada,Hiàn,Ottawahitech,1,"19:11, 30 May 2019 (UTC)"
1,Talk:Clownfish,Thegooduser,Kdammers,1,"18:24, 8 April 2020 (UTC)"
3,User talk:כוכב נופל,Ottawahitech,Deborahjay,1,"20:07, 28 May 2019 (UTC)"
3,User talk:כוכב נופל,Deborahjay,Ottawahitech,1,"10:36, 29 May 2019 (UTC)"
3,User talk:72.69.243.12,Computer Fizz,大诺史,1,"16:40, 10 September 2019 (UTC)"
3,User talk:Ars7262,Ars7262,Auntof6,1,"04:34, 30 May 2019 (UTC)"
3,User talk:2001:E68:442F:A06F:9C5F:A75:3061:1118,Computer Fizz,2001:E68:442F:A06F:9C5F:A75:3061:1118|Koavf,2,"21:11, 30 May 2019 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Chicka chicka 123,Deborahjay,Ottawahitech,1,"12:42, 1 June 2019 (UTC)"
3,User talk:Junedude433,Junedude433,User:Ottawahitech,1,"22:47, 26 August 2019 (UTC)"
3,User talk:Junedude433,ImprovedWikiImprovment,Only,1,"16:48, 10 June 2020 (UTC)"
4,Wikipedia:Requests for deletion/Requests/2019/Maurice Cheung C. H.,Zaxxon0,Jim.henderson,1,"01:15, 24 June 2019 (UTC)"
1,Talk:Tiananmen Square protests,Ottawahitech,Hiàn,1,"01:54, 5 June 2019 (UTC)"
1,Talk:Tiananmen Square protests,Hiàn,Ottawahitech,1,"02:17, 5 June 2019 (UTC)"
1,Talk:Tiananmen Square protests,Ottawahitech,Hiàn,1,"15:50, 5 June 2019 (UTC)"
1,Talk:Tiananmen Square protests,Hiàn,Ottawahitech,1,"16:28, 5 June 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Examknow,Nunabas,1,"19:50, 21 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Auntof6,Jules Muylaert,1,"10:11, 22 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Ottawahitech,Desertborn,1,"17:45, 10 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Desertborn,Ottawahitech,1,"19:18, 10 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Ottawahitech,Desertborn,1,"19:36, 10 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Auntof6/simplediffs,Derpdart56,1,"19:35, 4 June 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Ottawahitech,Djsasso,1,"16:27, 6 June 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Cohaf,Djsasso,1,"14:42, 30 May 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Ottawahitech,Simplex Simpleton,1,"13:08, 10 June 2019 (UTC)"
4,Wikipedia:Simple talk/Archive 126,Computer Fizz,National Railway,1,"08:24, 1 May 2019 (UTC)"
